,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220214P00285000,285.0,USD,0.05,0.0,0.0,21.0,22,0.0,0.01,REGULAR,1644796800,1643399941,0.7500025,False,P
1,SPY220214P00290000,290.0,USD,0.01,0.0,0.0,7.0,9,0.0,0.01,REGULAR,1644796800,1643655734,0.7187528125,False,P
2,SPY220214P00295000,295.0,USD,0.01,0.0,0.0,10.0,25,0.0,0.01,REGULAR,1644796800,1643660996,0.6875031250000001,False,P
3,SPY220214P00300000,300.0,USD,0.01,-0.02,-66.66667,1.0,186,0.0,0.01,REGULAR,1644796800,1643818208,0.6562534375000001,False,P
4,SPY220214P00305000,305.0,USD,0.03,0.0,0.0,2.0,18,0.0,0.01,REGULAR,1644796800,1643642169,0.6406285937499999,False,P
5,SPY220214P00310000,310.0,USD,0.01,0.0,0.0,1.0,103,0.0,0.01,REGULAR,1644796800,1643727835,0.60937890625,False,P
6,SPY220214P00315000,315.0,USD,0.01,0.0,0.0,1.0,684,0.0,0.01,REGULAR,1644796800,1643726125,0.5937540625000001,False,P
7,SPY220214P00320000,320.0,USD,0.02,0.0,0.0,27.0,360,0.0,0.01,REGULAR,1644796800,1643727506,0.5625043750000001,False,P
8,SPY220214P00325000,325.0,USD,0.02,0.0,0.0,1.0,216,0.0,0.01,REGULAR,1644796800,1643735052,0.54687953125,False,P
9,SPY220214P00330000,330.0,USD,0.01,-0.01,-50.0,8.0,24,0.0,0.01,REGULAR,1644796800,1643828505,0.51562984375,False,P
10,SPY220214P00335000,335.0,USD,0.01,-0.01,-50.0,14.0,125,0.01,0.02,REGULAR,1644796800,1643745305,0.54687953125,False,P
11,SPY220214P00340000,340.0,USD,0.02,0.0,0.0,87.0,2747,0.01,0.02,REGULAR,1644796800,1643824411,0.5195360546875,False,P
12,SPY220214P00345000,345.0,USD,0.01,-0.02,-66.66667,1.0,159,0.01,0.02,REGULAR,1644796800,1643813025,0.507817421875,False,P
13,SPY220214P00350000,350.0,USD,0.05,0.0,0.0,4.0,89,0.01,0.03,REGULAR,1644796800,1643738943,0.5039112109375,False,P
14,SPY220214P00355000,355.0,USD,0.06,0.0,0.0,12.0,107,0.02,0.03,REGULAR,1644796800,1643738582,0.48047394531250004,False,P
15,SPY220214P00360000,360.0,USD,0.03,-0.03,-50.0,78.0,48,0.03,0.03,REGULAR,1644796800,1643827303,0.45313046874999996,False,P
16,SPY220214P00365000,365.0,USD,0.05,-0.040000003,-44.444447,40.0,360,0.03,0.04,REGULAR,1644796800,1643815361,0.44336494140625,False,P
17,SPY220214P00370000,370.0,USD,0.05,-0.06,-54.545456,2.0,411,0.04,0.05,REGULAR,1644796800,1643827450,0.42774009765625004,False,P
